area-name,duoarea,period,process,process-name,product,product-name,series,series-description,units,value
NA,RTX07B,2018,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02RTX07B_1,Texas - RRC District 7B Crude Oil Reserves Adjustments (Million Barrels),MMBBL,-8
USA-NE,SNE,2018,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02SNE_1,Nebraska Crude Oil Reserves Adjustments (Million Barrels),MMBBL,3
NA,RTX07C,2018,R02,Reserves Adjustments,EPC0,Crude Oil,RCRR02RTX07C_1,Texas - RRC District 7C Crude Oil Reserves Adjustments (Million Barrels),MMBBL,-148
USA-AL,SAL,2018,R01,Proved Reserves,EPC0,Crude Oil,RCRR01SAL_1,Alabama Crude Oil Proved Reserves (Million Barrels),MMBBL,48
NA,RCAL,2018,R01,Proved Reserves,EPC0,Crude Oil,RCRR01RCAL_1,California - Los Angeles Basin Onshore Crude Oil Proved Reserves (Million Barrels),MMBBL,170
NA,R1901F,2018,R01,Proved Reserves,EPC0,Crude Oil,RCRR01R1901F_1,Gulf of America Federal Offshore  (Central & Eastern) Crude Oil Proved Reserves (Million Barrels),MMBBL,4765
USA-LA,SLA,2018,R01,Proved Reserves,EPC0,Crude Oil,RCRR01SLA_1,Louisiana Crude Oil Proved Reserves (Million Barrels),MMBBL,412
NA,RLASF,2018,R01,Proved Reserves,EPC0,Crude Oil,RCRR01RLASF_1,Louisiana State Offshore Crude Oil Proved Reserves (Million Barrels),MMBBL,68
USA-UT,SUT,2018,R01,Proved Reserves,EPC0,Crude Oil,RCRR01SUT_1,Utah Crude Oil Proved Reserves (Million Barrels),MMBBL,401
NA,RTX06,2018,R01,Proved Reserves,EPC0,Crude Oil,RCRR01RTX06_1,Texas - RRC District 6 Crude Oil Proved Reserves (Million Barrels),MMBBL,124
USA-NE,SNE,2018,R01,Proved Reserves,EPC0,Crude Oil,RCRR01SNE_1,Nebraska Crude Oil Proved Reserves (Million Barrels),MMBBL,15
NA,RNMEAST,2018,R01,Proved Reserves,EPC0,Crude Oil,RCRR01RNMEAST_1,New Mexico - East Crude Oil Proved Reserves (Million Barrels),MMBBL,3185
USA-IN,SIN,2018,R10,Production from Reserves,EPC0,Crude Oil,RCRR10SIN_1,Indiana Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,
USA-MT,SMT,2018,R10,Production from Reserves,EPC0,Crude Oil,RCRR10SMT_1,Montana Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,21
NA,RCAL,2018,R10,Production from Reserves,EPC0,Crude Oil,RCRR10RCAL_1,California - Los Angeles Basin Onshore Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,11
NA,R48,2018,R10,Production from Reserves,EPC0,Crude Oil,RCRR10R48_1,Lower 48 States Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,3520
USA-KS,SKS,2018,R10,Production from Reserves,EPC0,Crude Oil,RCRR10SKS_1,Kansas Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,33
USA-AL,SAL,2018,R10,Production from Reserves,EPC0,Crude Oil,RCRR10SAL_1,Alabama Crude Oil Estimated Production from Reserves (Million Barrels),MMBBL,5
USA-UT,SUT,2018,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09SUT_1,Utah Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
OHIO,SOH,2018,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09SOH_1,Ohio Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
NA,RLASO,2018,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09RLASO_1,Louisiana - South Onshore Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
NA,RCAL,2018,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09RCAL_1,California - Los Angeles Basin Onshore Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
NA,R48,2018,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09R48_1,Lower 48 States Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
USA-MT,SMT,2018,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09SMT_1,Montana Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
USA-KS,SKS,2018,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09SKS_1,Kansas Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
USA-WY,SWY,2018,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09SWY_1,Wyoming Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
USA-IN,SIN,2018,R09,Reserves New Reservoir Discoveries in Old Fields,EPC0,Crude Oil,RCRR09SIN_1,Indiana Crude Oil New Reservoir Discoveries in Old Fields (Million Barrels),MMBBL,
USA-MI,SMI,2018,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08SMI_1,Michigan Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
NA,RTX02,2018,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08RTX02_1,Texas - RRC District 2 Onshore Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
NA,RTXSF,2018,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08RTXSF_1,Texas State Offshore Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
USA-ND,SND,2018,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08SND_1,North Dakota Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
NA,RTX04,2018,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08RTX04_1,Texas - RRC District 4 Onshore Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
NA,RTX07C,2018,R08,Reserves New Field Discoveries,EPC0,Crude Oil,RCRR08RTX07C_1,Texas - RRC District 7C Crude Oil Reserves New Field Discoveries (Million Barrels),MMBBL,
